project_name,duration,emissions,emissions_rate,energy_consumed
NeuralNet_Kryptonite_9,107.79634527899998,0.0006400044313697838,5.937162616351375e-06,0.0014139970291176579
NeuralNet_Kryptonite_12,177.60626835799985,0.0010546609157583,5.938196469690315e-06,0.0023301204312242
NeuralNet_Kryptonite_15,299.148003667,0.0017763199258233,5.937930068223574e-06,0.003924521416986
Kryptonite-9-Extra-Trees,430.1823964790000,0.0012333892036281,2.86713081177498E-06,0.0056439119025099
Kryptonite-12-Extra-Trees,1546.5307830850000,0.0057926730314485,3.7455918076803E-06,0.0202893071266369
Kryptonite-15-Extra-Trees,2469.557254169,0.025198348935993100,1.02035896893884E-05,0.03922666862189100
DeepResNet-Training-18,173.1051852180001,0.0030843446680337,1.7817748579567554e-05,0.0065515209088556
DeepResNet-Training-18,137.93616114400015,0.0024664573235295,1.788115098371273e-05,0.0052390534992333
DeepResNet-Training-18,198.8798956569999,0.0034475541653130595,1.7334855058748202e-05,0.007323021785648716
DeepResNet-Training-24,173.1051852180001,0.0030843446680337,1.7817748579567554e-05,0.0065515209088556
DeepResNet-Training-24,137.93616114400015,0.002466457323529596,1.788115098371273e-05,0.005239053499233396
